Word	Pinyin	CON
哀	ai1	4.19
埃	ai1	4.67
挨	ai1	4.43
癌	ai2	5.51
矮	ai3	5.3
爱	ai4	4.15
碍	ai4	3.92
安	an1	3.23
鞍	an1	5.38
岸	an4	6.06
案	an4	4.68
暗	an4	5.23
昂	ang2	4.08
凹	ao1	5.24
熬	ao2	4.69
袄	ao3	6.49
扒	ba1	5.65
疤	ba1	6.47
笆	ba1	5.72
拔	ba2	5.54
靶	ba3	6.39
坝	ba4	6.31
爸	ba4	6.76
罢	ba4	3.76
霸	ba4	4.1
掰	bai1	5.51
白	bai2	5.78
柏	bai3	6.53
摆	bai3	5.54
败	bai4	4.53
拜	bai4	4.72
扳	ban1	5.1
班	ban1	5.44
颁	ban1	4.65
斑	ban1	5.38
搬	ban1	5.49
板	ban3	6.31
办	ban4	3.73
伴	ban4	4.43
扮	ban4	5.13
拌	ban4	5.3
绊	ban4	5.33
瓣	ban4	6.05
邦	bang1	3.94
帮	bang1	5
绑	bang3	5.93
榜	bang3	4.82
膀	bang3	5.58
傍	bang4	4.13
棒	bang4	4.51
谤	bang4	4.15
包	bao1	5.49
褒	bao1	3.88
雹	bao2	6.39
宝	bao3	5.03
饱	bao3	5.32
保	bao3	3.62
堡	bao3	5.81
报	bao4	5.38
抱	bao4	5.97
豹	bao4	6.79
暴	bao4	3.44
爆	bao4	4.69
悲	bei1	4.85
碑	bei1	5.75
北	bei3	5.13
贝	bei4	6.08
狈	bei4	5.33
备	bei4	3.67
背	bei4	5.95
悖	bei4	3.79
奔	ben1	5.38
笨	ben4	4.87
崩	beng1	4.41
绷	beng1	4.8
泵	beng4	6
迸	beng4	4.56
蹦	beng4	5.93
逼	bi1	4.26
鼻	bi2	6.89
币	bi4	6.58
毕	bi4	3.18
闭	bi4	5.46
毙	bi4	5.14
敝	bi4	3.67
痹	bi4	3.13
辟	bi4	4.03
弊	bi4	4.1
碧	bi4	5.03
蔽	bi4	4.41
壁	bi4	6.05
避	bi4	5.43
臂	bi4	6.32
边	bian1	4.48
编	bian1	4.84
鞭	bian1	6.19
贬	bian3	4.3
扁	bian3	5.1
匾	bian3	6.79
变	bian4	4.31
辨	bian4	4.97
辩	bian4	4.7
辫	bian4	6.83
标	biao1	4.33
表	biao3	6.54
裱	biao3	5.22
憋	bie1	4.94
鳖	bie1	6.74
蹩	bie2	4.54
瘪	bie3	4.35
宾	bin1	5.08
